B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 0
S10, Trade, 62.689, 208, S10, B62, 1
S10, Trade, 122.417, 195, S10, B42, 1
S10, Trade, 180.417, 198, S10, B37, 1
S10, Trade, 241.606, 199, B41, S10, 1
S10, Trade, 301.674, 193, S10, B63, 1
S10, Trade, 363.258, 197, B37, S10, 1
S10, Trade, 422.424, 194, S10, B51, 1
S10, Trade, 491.561, 195, S10, B35, 1
S10, Trade, 542.114, 194, B64, S10, 1
S11, 9
S11, Trade, 67.174, 200, B33, S11, 1
S11, Trade, 122.856, 193, B43, S11, 1
S11, Trade, 184.629, 198, B39, S11, 1
S11, Trade, 246.530, 200, B43, S11, 1
S11, Trade, 300.114, 135, S11, B49, 1
S11, Trade, 375.303, 194, B31, S11, 1
S11, Trade, 420.258, 183, B28, S11, 1
S11, Trade, 481.121, 233, B44, S11, 1
S11, Trade, 540.720, 195, B51, S11, 1
S12, 8
S12, Trade, 60.364, 195, B59, S12, 1
S12, Trade, 123.485, 193, B33, S12, 1
S12, Trade, 181.879, 201, S12, B60, 1
S12, Trade, 240.455, 198, B32, S12, 1
S12, Trade, 303.561, 193, S12, B60, 1
S12, Trade, 364.439, 198, S12, B35, 1
S12, Trade, 422.780, 196, S12, B46, 1
S12, Trade, 540.371, 198, S12, B61, 1
S13, 9
S13, Trade, 60.962, 206, B44, S13, 1
S13, Trade, 121.447, 196, S13, B54, 1
S13, Trade, 180.167, 203, S13, B49, 1
S13, Trade, 241.962, 202, S13, B47, 1
S13, Trade, 301.803, 193, B51, S13, 1
S13, Trade, 368.280, 197, S13, B62, 1
S13, Trade, 420.856, 196, S13, B32, 1
S13, Trade, 496.326, 194, S13, B42, 1
S13, Trade, 543.848, 194, S13, B60, 1
S14, 8
S14, Trade, 61.318, 195, B51, S14, 1
S14, Trade, 120.924, 192, S14, B64, 1
S14, Trade, 181.856, 200, S14, B59, 1
S14, Trade, 249.212, 200, B40, S14, 1
S14, Trade, 301.848, 193, S14, B45, 1
S14, Trade, 365.045, 197, S14, B51, 1
S14, Trade, 422.742, 195, S14, B64, 1
S14, Trade, 542.765, 194, S14, B32, 1
S15, 8
S15, Trade, 60.545, 190, B30, S15, 1
S15, Trade, 120.780, 192, S15, B47, 1
S15, Trade, 181.629, 200, S15, B64, 1
S15, Trade, 241.394, 201, S15, B52, 1
S15, Trade, 301.038, 193, S15, B62, 1
S15, Trade, 361.705, 197, B65, S15, 1
S15, Trade, 424.182, 195, S15, B60, 1
S15, Trade, 542.841, 193, B41, S15, 1
S16, 9
S16, Trade, 73.826, 198, B39, S16, 1
S16, Trade, 120.121, 177, S16, B46, 1
S16, Trade, 182.295, 198, B41, S16, 1
S16, Trade, 255.205, 199, B33, S16, 1
S16, Trade, 301.606, 192, B37, S16, 1
S16, Trade, 363.538, 196, B38, S16, 1
S16, Trade, 458.341, 193, B53, S16, 1
S16, Trade, 483.773, 216, B37, S16, 1
S16, Trade, 549.538, 191, B49, S16, 1
S17, 8
S17, Trade, 61.682, 194, B31, S17, 1
S17, Trade, 120.318, 184, B63, S17, 1
S17, Trade, 180.583, 199, S17, B65, 1
