B00, 0
B01, 0
B02, 1
B25, Trade, 547.475, 354, S17, B25, 1
B25, Trade, 560.287, 346, B25, S05, 1
B25, Trade, 568.412, 341, B25, S01, 1
B25, Trade, 578.750, 348, B25, S13, 1
B25, Trade, 590.050, 347, S03, B25, 1
B26, 56
B26, Trade, 3.138, 200, B26, S11, 1
B26, Trade, 17.750, 186, B26, S16, 1
B26, Trade, 30.312, 199, S19, B26, 1
B26, Trade, 42.925, 200, B26, S10, 1
B26, Trade, 51.013, 202, B26, S03, 1
B26, Trade, 54.213, 196, B26, S09, 1
B26, Trade, 65.300, 193, B26, S00, 1
B26, Trade, 73.313, 194, B26, S13, 1
B26, Trade, 87.988, 202, B26, S10, 1
B26, Trade, 93.038, 198, B26, S04, 1
B26, Trade, 110.688, 193, B26, S00, 1
B26, Trade, 121.425, 196, B26, S17, 1
B26, Trade, 128.900, 193, B26, S03, 1
B26, Trade, 133.350, 203, B26, S04, 1
B26, Trade, 142.713, 208, S09, B26, 1
B26, Trade, 156.925, 181, B26, S04, 1
B26, Trade, 170.125, 201, B26, S13, 1
B26, Trade, 174.875, 211, B26, S11, 1
B26, Trade, 195.250, 190, B26, S06, 1
B26, Trade, 200.912, 199, B26, S11, 1
B26, Trade, 207.650, 179, B26, S08, 1
B26, Trade, 215.412, 199, S03, B26, 1
B26, Trade, 229.662, 213, B26, S09, 1
B26, Trade, 239.800, 201, B26, S11, 1
B26, Trade, 244.100, 199, B26, S11, 1
B26, Trade, 252.725, 200, S07, B26, 1
B26, Trade, 272.975, 202, S02, B26, 1
B26, Trade, 286.312, 192, B26, S10, 1
B26, Trade, 292.375, 187, B26, S09, 1
B26, Trade, 301.712, 199, S17, B26, 1
B26, Trade, 320.787, 349, S06, B26, 1
B26, Trade, 327.175, 345, S01, B26, 1
B26, Trade, 332.787, 347, B26, S03, 1
B26, Trade, 351.950, 349, S03, B26, 1
B26, Trade, 376.175, 347, B26, S13, 1
B26, Trade, 388.387, 347, B26, S03, 1
B26, Trade, 405.962, 346, S02, B26, 1
B26, Trade, 409.650, 350, S17, B26, 1
B26, Trade, 418.550, 351, S11, B26, 1
B26, Trade, 424.987, 351, S13, B26, 1
B26, Trade, 432.125, 351, S19, B26, 1
B26, Trade, 455.162, 349, B26, S00, 1
B26, Trade, 457.525, 351, S20, B26, 1
B26, Trade, 471.387, 348, B26, S09, 1
B26, Trade, 482.650, 349, B26, S08, 1
B26, Trade, 488.650, 350, B26, S03, 1
B26, Trade, 498.412, 345, S06, B26, 1
B26, Trade, 507.050, 346, S02, B26, 1
B26, Trade, 517.037, 349, B26, S12, 1
B26, Trade, 523.937, 348, S19, B26, 1
B26, Trade, 536.412, 346, B26, S03, 1
B26, Trade, 547.062, 354, B26, S14, 1
B26, Trade, 556.462, 350, B26, S15, 1
B26, Trade, 569.962, 343, B26, S17, 1
B26, Trade, 578.237, 349, B26, S15, 1
B26, Trade, 583.587, 347, B26, S11, 1
B27, 59
B27, Trade, 4.588, 201, B27, S03, 1
B27, Trade, 16.562, 187, B27, S12, 1
B27, Trade, 30.250, 199, S07, B27, 1
B27, Trade, 34.337, 203, S20, B27, 1
B27, Trade, 43.838, 199, B27, S16, 1
B27, Trade, 61.613, 192, B27, S13, 1
B27, Trade, 64.575, 193, S17, B27, 1
B27, Trade, 80.500, 196, B27, S11, 1
B27, Trade, 84.850, 202, B27, S08, 1
B27, Trade, 97.563, 201, B27, S02, 1
B27, Trade, 102.413, 198, S03, B27, 1
B27, Trade, 114.363, 201, B27, S05, 1
B27, Trade, 129.575, 192, B27, S14, 1
B27, Trade, 139.550, 205, B27, S06, 1
B27, Trade, 145.425, 208, S19, B27, 1
B27, Trade, 155.887, 181, S06, B27, 1
B27, Trade, 168.662, 200, S07, B27, 1
